,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,Lat,Lng,Google Addresses,Postal Codes
10,CASUAL DINING,Barque Smokehouse,4.3,650,"Roncesvalles Avenue, Roncesvalles Village","299 Roncesvalles Avenue, Toronto M6R 2M3","BBQ, Grill",70,43.6479885,-79.4495441,"299 Roncesvalles Ave, Toronto, ON M6R 2M3, Canada",M6R
11,CASUAL DINING,Lee,4.5,572,"King Street West, Fashion District","601 King Street West, Toronto M5V 1M5","Asian Fusion, Asian",85,43.6441589,-79.4004451,"601 King St W, Toronto, ON M5V 1M5, Canada",M5V
12,CASUAL DINING,Terroni,4.1,948,"Queen Street West, Trinity Bellwoods","720 Queen Street W, Toronto M6J 1E8","Italian, Pizza",65,43.6463059,-79.409167,"720 Queen St W, Toronto, ON M5V 2B5, Canada",M5V
13,QUICK BITES,The Burger's Priest,4.2,780,"Queen Street East, The Beaches","1636, Queen St. E, Toronto",Burger,30,43.6668291,-79.31564159999999,"1636 Queen St E, Toronto, ON M4L 1G3, Canada",M4L
14,CASUAL DINING,Rodney's Oyster House,4.6,474,Fashion District,"469 King Street West, Toronto M5V 1K4",Seafood,75,43.6449948,-79.3967672,"469 King St W, Toronto, ON M5V 3M4, Canada",M5V
15,CASUAL DINING,Bar Isabel,4.8,414,"College Street, Dufferin Grove","797 College Street, Toronto M6G 1C7","Spanish, Tapas, Bar Food",150,43.65464730000001,-79.4207891,"797 College St, Toronto, ON M6G 1C7, Canada",M6G
16,CASUAL DINING,La Carnita,4.3,446,Little Italy,"501 College Street, Toronto M6G1A6",Mexican,35,43.6558701,-79.40979449999999,"501 College St, Toronto, ON M5S 2K2, Canada",M5S
17,CASUAL DINING,Messini,4.4,610,"Danforth Avenue, The Danforth","445 Danforth Avenue, Toronto M4K 1P2",Greek,40,43.6776906,-79.3505356,"445 Danforth Ave, Toronto, ON M4K 1P1, Canada",M4K
18,CASUAL DINING,WVRST,4.4,461,"King Street West, Niagara","609 King Street West, Toronto M5V 1M5",German,40,43.6441094,-79.40070899999999,"609 King St W, Toronto, ON M5V 1M5, Canada",M5V
19,QUICK BITES,Seven Lives - Tacos Y Mariscos,4.9,310,"Kensington Avenue, Kensington-Chinatown","69 Kensington Avenue, Toronto M5T 2K2",Mexican,25,43.6543302,-79.4003792,"69 Kensington Ave, Toronto, ON M5T 2K2, Canada",M5T
20,CASUAL DINING,Mildred's Temple Kitchen,4.2,392,"Hanna Avenue, Liberty Village","85 Hanna Avenue, Suite 104 Toronto M6K 3S3","Fusion, Canadian",80,43.64013449999999,-79.4197681,"104-85 Hanna Ave, Toronto, ON M6K 3S3, Canada",M6K
21,CASUAL DINING,Le Sélect Bistro,4.4,491,Fashion District,"432 Wellington Street West, Toronto M5V 1E3",French,85,43.6438713,-79.3968898,"432 Wellington St W, Toronto, ON M5V 1E3, Canada",M5V
22,CASUAL DINING,Buca,4.5,433,"King Street West, Fashion District","604 King Street West, Toronto M5V 1M6",Italian,80,43.6445122,-79.4003621,"604 King St W, Toronto, ON M5V 1M5, Canada",M5V
23,CASUAL DINING,Grazie Ristorante,4.2,694,"Yonge Street, Yonge & Eglinton","2373 Yonge Street, Toronto M4P 2C8",Italian,60,43.7093451,-79.39869589999999,"2373 Yonge St, Toronto, ON M4P 2C8, Canada",M4P
24,CASUAL DINING,Momofuku Noodle Bar,3.3,543,"University Avenue, Entertainment District",190 University Avenue M5H 0A3,"Japanese, Asian",60,43.6494535,-79.3863506,"190 University Ave, Toronto, ON M5H 0A3, Canada",M5H
25,CASUAL DINING,El Catrin Destileria,3.9,456,"Tank House Lane, Distillery District","18 Tank House Lane, Distillery District, Toronto M5A 3C4","Mexican, Tapas",45,43.65065389999999,-79.35846029999999,"18 Tank House Lane, Toronto, ON M5A 3C4, Canada",M5A
26,FINE DINING,Scaramouche Pasta Bar and Grill,4.7,401,"1 Benvenuto Place, Casa Loma",1 Benvenuto Pl Suite G3 M4V 2L1,French,110,43.6815208,-79.39991189999999,"1 Benvenuto Pl G3, Toronto, ON M4V 2L1, Canada",M4V
27,CASUAL DINING,School Bakery Cafe,4.2,415,"Fraser Avenue, Liberty Village","70 Fraser Avenue, Toronto M6K 3E1","Diner, American",50,43.6377887,-79.4243664,"70 Fraser Ave, Toronto, ON M6K 3E1, Canada",M6K
28,CASUAL DINING,JaBistro,4.6,285,"Richmond Street West, Entertainment District","222 Richmond Street West, Toronto M5V1W4 1W4",Sushi,100,43.6497813,-79.38815980000001,"222 Richmond St W, Toronto, ON M5V 1V6, Canada",M5V
29,CASUAL DINING,Beerbistro,4.4,510,"King Street East, St. Lawrence","18 King Street East, Toronto M5C 1C4","Canadian, Bar Food",80,43.6496485,-79.37708950000001,"18 King St E, Toronto, ON M5H 1A1, Canada",M5H
30,CASUAL DINING,Patria,4.3,297,"King Street West, Fashion District",478 King Street. West M5V 1L7,"Tapas, Spanish",120,43.6454752,-79.39610449999999,"478 King St W, Toronto, ON M5V 0A8, Canada",M5V
31,CASUAL DINING,Sansotei Ramen,4.6,413,"Dundas Street West, Discovery District","179 Dundas Street West, Toronto M5G1Z8",Ramen,40,43.6550038,-79.3864731,"179 Dundas St W, Toronto, ON M5G 1C7, Canada",M5G
32,CASUAL DINING,Insomnia,4.3,402,"Bloor Street West, Harbord Village","563 Bloor Street West, Toronto M5S 1Y6","American, Italian, Bar Food",100,43.6650421,-79.4107779,"563 Bloor St W, Toronto, ON M5S 1Y6, Canada",M5S
33,CASUAL DINING,Sukho Thai,4.6,286,"Wellington Street East, St. Lawrence","52 Wellington Street East, Toronto",Thai,50,43.6486329,-79.3746187,"52 Wellington St E, Toronto, ON M5E 1C7, Canada",M5E
34,FINE DINING,Jacob's and Co. Steakhouse,4.9,317,Fashion District,"12 Brant Street, Toronto",Steak,140,43.6454083,-79.39797039999999,"12 Brant St, Toronto, ON M5V 3G9, Canada",M5V
35,DESSERT PARLOR,Nadège,4.9,361,"Queen Street West, Trinity Bellwoods","780 Queen Street West, Toronto ON M6J 2R5","Desserts, Patisserie, Cafe",20,43.6459275,-79.4114391,"780 Queen St W, Toronto, ON M6J 2R5, Canada",M6J
36,CASUAL DINING,Copacabana Grilled Brazilian,4.2,540,Davisville Village,"150 Eglinton Avenue East, Toronto M5H 3H1","Brazilian, Grill",100,43.7078631,-79.394156,"150 Eglinton Ave E, Toronto, ON M4P 1E8, Canada",M4P
37,CASUAL DINING,Buk Chang Dong Soon Tofu,4.6,382,"Bloor Street West, Seaton Village","691 Bloor Street West, Toronto M6G 1L3",Korean,30,43.66358899999999,-79.4169576,"691 Bloor St W, Toronto, ON M6G 1L3, Canada",M6G
38,DESSERT PARLOR,Bang Bang Ice Cream,4.7,219,"Ossington Avenue, Beaconsfield Village","93 1/2 Ossington Avenue, Toronto M6J 2Z4","Ice Cream, Desserts",20,43.646302,-79.419467,"93 Ossington Ave, Toronto, ON M6J 2Z2, Canada",M6J
39,QUICK BITES,Burrito Boyz,4.5,639,"Adelaide Street West, Entertainment District","224 Adelaide Street West, Toronto M5H 1W7","Mexican, Fast Food",25,43.6484781,-79.3880553,"224 Adelaide St W, Toronto, ON M5H 1W7, Canada",M5H
40,CASUAL DINING,Han Ba Tang,4.4,174,"Yonge Street, North York","4862 Yonge Street, North York M2N 5N2","Korean, Asian Fusion, Asian",30,43.7629082,-79.4115642,"4862 Yonge St, North York, ON M2N 5N2, Canada",M2N
41,QUICK BITES,Tacos El Asador,4.5,365,"Clinton Street, Seaton Village","690 Bloor Street West, Toronto M6G 4B9","Fast Food, Mexican",25,43.6639736,-79.4171032,"690 Bloor St W, Toronto, ON M6G 1L2, Canada",M6G
42,CASUAL DINING,Japango,4.4,344,"Elizabeth Street, Discovery District","122 Elizabeth Street, Toronto M5G 1P5","Sushi, Japanese, Asian",120,43.655066,-79.385297,"122 Elizabeth St, Toronto, ON M5G 1P5, Canada",M5G
43,CASUAL DINING,Playa Cabana,4.4,309,"Dupont Street, The Annex","111 Dupont Street, Toronto M5R 1V4",Mexican,70,43.6759903,-79.40121669999999,"111 Dupont St, Toronto, ON M5R 1V4, Canada",M5R
44,CASUAL DINING,Rol San,4.1,381,Kensington-Chinatown,"323 Spadina Avenue, Toronto M5T2E9","Dim Sum, Cantonese",45,43.6544011,-79.3981585,"323 Spadina Ave, Toronto, ON M5T 2E9, Canada",M5T
45,CASUAL DINING,KINTON RAMEN,3.9,476,"Baldwin Street, Grange Park","51 Baldwin Street, Toronto M5T 1L1","Ramen, Japanese",35,43.6557276,-79.3939141,"51 Baldwin St, Toronto, ON M5T 1L1, Canada",M5T
46,CASUAL DINING,Gandhi Indian Cuisine,4.3,383,"Queen Street West, Fashion District",554 Queen Street West M5V 2B7,Indian,30,43.6475091,-79.4030906,"554 Queen St W, Toronto, ON M5V 2B5, Canada",M5V
47,CASUAL DINING,Stoney's Bread Company,4.6,394,"Kerr Street, Oakville","325 Kerr Street, Oakville",Italian,45,43.44372600000001,-79.68122489999999,"325 Kerr St, Oakville, ON L6K 3B6, Canada",L6K
48,CASUAL DINING,Byblos,4.7,169,"Duncan Street, Entertainment District",11 Duncan Street M5V 3M2,Mediterranean,90,43.6475294,-79.3880142,"11 Duncan St, Toronto, ON M5V 3M2, Canada",M5V
49,CASUAL DINING,Gio Rana's Really Really Nice Restaurant,4.5,385,"Queen Street East, Leslieville","1220 Queen Street East, Toronto M4M 1L7",Italian,65,43.6634484,-79.3304789,"1220 Queen St E, Toronto, ON M4M 1L7, Canada",M4M
50,CASUAL DINING,Le Petit Dejeuner,4.3,344,"King Street East, St. Lawrence","191 King Street East, Toronto M5A 1J5","Canadian, Belgian",70,43.6506557,-79.3702608,"191 King St E, Toronto, ON M5A 1J5, Canada",M5A
51,FAST CASUAL,Chipotle,4.3,496,"Yonge Street, Downtown Yonge","323 Yonge Street, Toronto M5B 1R7",Tex-Mex,30,43.6568874,-79.3808684,"323 Yonge St, Toronto, ON M5B 1R7, Canada",M5B
52,CASUAL DINING,Holy Chuck Burgers,4.2,337,Yonge & St. Clair,"1450 Yonge Street, Toronto",Burger,30,43.6875274,-79.3940599,"1450 Yonge St, Toronto, ON M4T 1Y5, Canada",M4T
53,CASUAL DINING,GuruLukshmi,4.5,335,"Derry Village Square, Mississauga",7070 Saint Barbara Boulevard L5W 0E6,Indian,40,43.6386224,-79.7161974,"7070 St Barbara Blvd, Mississauga, ON L5W 0E6, Canada",L5W
54,CASUAL DINING,Ramen Isshin,4.7,157,"College Street, Harbord Village","421 College Street, Toronto M5T 1T1","Ramen, Japanese",50,43.6563265,-79.40686579999999,"421 College St, Toronto, ON M5T 1T1, Canada",M5T
55,CASUAL DINING,Enoteca Sociale,4.5,280,"Dundas Street West, Dufferin Grove","1288 Dundas Street West, Toronto M6J 1X7","Italian, European",90,43.6495822,-79.42562939999999,"1288 Dundas St W, Toronto, ON M6J 1X7, Canada",M6J
56,BAR,The Lounge - The Drake Hotel,4.1,360,"Queen Street West, Beaconsfield Village","The Drake Hotel, 1150 Queen Street West, Toronto M6J 1J3","Bar Food, European, Asian",65,43.6432306,-79.4246385,"1150 Queen St W, Toronto, ON M6J 1J3, Canada",M6J
57,BAR,Sneaky Dee's,4.0,321,"College Street, Little Italy","431 College Street, Toronto M5T 1T1","Mexican, Bar Food, Tex-Mex",20,43.656333,-79.407487,"431 College St, Toronto, ON M5T 1T1, Canada",M5T
58,BAR,Amsterdam BrewHouse,3.9,233,"Amsterdam Bridge, Harbourfront","245 Queens Quay West, Toronto M5J 2K9",Bar Food,70,43.6385247,-79.3850073,"245 Queens Quay W, Toronto, ON M5J 2K9, Canada",M5J
59,CASUAL DINING,The Sultan's Tent & Cafe Moroc,3.8,410,"Front Street East 3rd Floor, St. Lawrence","49 Front Street East, Toronto","French, Moroccan",70,43.6477782,-79.3741422,"49 Front St E, Toronto, ON M5E 1B3, Canada",M5E
60,CASUAL DINING,Utopia,4.4,379,"College Street, Little Italy","586 College Street, Toronto M6G 1B3","American, Mexican",40,43.655446,-79.413505,"586 College St, Toronto, ON M6G 1B3, Canada",M6G
61,CASUAL DINING,Buster's Sea Cove,4.5,275,"Front Street East, St. Lawrence","St. Lawrence Market, 93 Front Street East, Toronto",Seafood,50,43.6486879,-79.3715454,"93 Front St E, Toronto, ON M5E 1C3, Canada",M5E
62,CASUAL DINING,Lady Marmalade,4.4,299,"Queen Street East, Riverside","265 Broadview Ave, Toronto M4M 1J3",Mexican,40,43.6632084,-79.3515108,"265 Broadview Ave, Toronto, ON M4M 1T4, Canada",M4M
63,FINE DINING,360 Restaurant,4.1,346,"CN Tower, Entertainment District","CN Tower, 301 Front Street West, Toronto M5V 2T6","Canadian, Grill",180,43.6425657,-79.38705569999999,"CN Tower, 301 Front St W, Toronto, ON M5V 2T6, Canada",M5V
64,QUICK BITES,Porchetta & Co.,4.6,227,"Dundas Street West, Trinity Bellwoods","825 Dundas Street West, Toronto M6J 1V4",Sandwich,30,43.6515535,-79.4090015,"825 Dundas St W, Toronto, ON M6J 1V4, Canada",M6J
65,CASUAL DINING,Cluny Bistro & Boulangerie,4.3,192,"Mill Street, Distillery District","35 Tank House Lane, Distillery District, Toronto M5A 3C4",French,90,43.6505879,-79.3578962,"35 Tank House Lane, Toronto, ON M5A 3C4, Canada",M5A
66,BAKERY,Bonjour Brioche,4.3,289,"Queen Street East, Riverside","812 Queen Street East, Toronto","Bakery, Cafe, Breakfast",35,43.6598261,-79.34630779999999,"812 Queen St E, Toronto, ON M4M 1H6, Canada",M4M
67,BAR,House On Parliament,4.7,314,"Parliament Street, Regent Park","454 Parliament Street, Toronto M5A 2H6","British, Bar Food",75,43.6636458,-79.3677932,"454 Parliament St, Toronto, ON M5A 3A2, Canada",M5A
68,QUICK BITES,Johnny's Hamburgers,4.2,470,"Sheppard Avenue East, Scarborough","2595 Victoria Park Avenue, Scarborough M1T 1A4",Burger,15,43.7748844,-79.3222842,"2595 Victoria Park Ave, Scarborough, ON M1T 1A4, Canada",M1T
69,CASUAL DINING,Beast,4.4,193,"Tecumseth Street, Niagara","96 Tecumseth Street, Toronto M6J 2H1",Canadian,65,43.6440793,-79.4057444,"96 Tecumseth St, Toronto, ON M6J 2H1, Canada",M6J
70,CASUAL DINING,Bar Raval,4.2,110,"College Street, Little Italy","505 College Street, Toronto M6G 1A4","Spanish, Tapas, Bar Food",60,43.6558432,-79.4099433,"505 College St, Toronto, ON M6J 2J3, Canada",M6J
71,DESSERT PARLOR,Sweet Jesus,3.8,131,"Adelaide Street West, Entertainment District","106 John Street, Toronto M5H 1X9","Ice Cream, Coffee and Tea",15,43.64718449999999,-79.39017559999999,"106 John St, Toronto, ON M5H 1X9, Canada",M5H
72,CASUAL DINING,Yuzu No Hana,4.5,226,"Adelaide Street West, Entertainment District","236 Adelaide Street West, Toronto M5H 1W7","Sushi, Japanese, Asian",100,43.6484618,-79.38837219999999,"236 Adelaide St W, Toronto, ON M5H 1W7, Canada",M5H
73,DESSERT PARLOR,Uncle Tetsu's Japanese Cheesecake,4.2,193,"Bay St Toronto, Discovery District","598 Bay Street, Toronto M5G 1C3","Desserts, Japanese, Asian",15,43.6559689,-79.3840134,"598 Bay St, Toronto, ON M5G 1C3, Canada",M5G
74,CAFÉ,Black Camel,4.8,230,Rosedale,"4 Crescent Road, Toronto M4W 1S9","Cafe, Sandwich",30,43.6772862,-79.3894689,"4 Crescent Rd, Toronto, ON M4W 1S9, Canada",M4W
75,CAFÉ,Saving Grace,4.2,185,"Dundas Street West, Trinity Bellwoods","907 Dundas Street West, Toronto M6J 1V9","Cafe, Canadian",30,43.6508652,-79.41242869999999,"907 Dundas St W, Toronto, ON M6J 1W1, Canada",M6J
76,CASUAL DINING,Dailo,4.3,111,Little Italy,"503 College Street, Toronto M6G 1A5","Chinese, Asian Fusion",85,43.655849,-79.4098724,"503 College St, Toronto, ON M6J 2J3, Canada",M6J
77,FINE DINING,George Restaurant,4.8,193,"Queen Street East, Garden District","111C Queen Street East, Toronto M5C 1S2",Canadian,110,43.6533262,-79.374507,"111C Queen St E, Toronto, ON M5C 1S2, Canada",M5C
78,CASUAL DINING,Fishman Lobster Clubhouse,4.0,175,"Steeles Avenue East, Scarborough","Silver Star, 680 Silver Star Boulevard, Scarborough M1V 4S5","Seafood, Cantonese, Chinese",140,43.8240474,-79.300648,"680 Silver Star Blvd, Scarborough, ON M1V 4S5, Canada",M1V
79,CASUAL DINING,Sushi Kaji,4.6,184,"The Queensway, Etobicoke","860 The Queensway, Etobicoke M8Z 1N7",Sushi,160,43.6249445,-79.50995259999999,"860 The Queensway, Etobicoke, ON M8Z 1N7, Canada",M8Z
80,CASUAL DINING,Sassafraz,4.2,300,"Cumberland Street, Yorkville","100 Cumberland Street, Toronto M5S 2W7","Canadian, French",90,43.6704589,-79.3912174,"100 Cumberland St, Toronto, ON M5S 2W7, Canada",M5S
81,CASUAL DINING,Trattoria Nervosa,4.4,278,"Yorkville Avenue, Yorkville","75 Yorkville Avenue, Toronto M5R 1B8",Italian,70,43.6710199,-79.3910854,"75 Yorkville Ave, Toronto, ON M5R 1B8, Canada",M5R
82,FINE DINING,Ruby Watchco,4.8,235,"Queen Street East, Riverside","730 Queen Street East, Toronto M4M 1H2",Canadian,120,43.6592086,-79.3491468,"730 Queen St E, Toronto, ON M4M 1H2, Canada",M4M
83,CASUAL DINING,Mother's Dumplings,4.1,279,"Spadina Avenue, Kensington-Chinatown","421 Spadina Avenue, Toronto M5T2G6",Northern Chinese,30,43.65711839999999,-79.3993309,"421 Spadina Ave, Toronto, ON M5T 0A1, Canada",M5T
84,CASUAL DINING,Kingyo,4.3,176,"Winchester Street, Cabbagetown","51B Winchester Street, Toronto M4X 1R7","Sushi, Japanese, Asian",110,43.6658629,-79.3681972,"51B Winchester St, Toronto, ON M4X 1P3, Canada",M4X
85,CASUAL DINING,Le Cafe Michi,4.3,209,"Pharmacy Avenue, Scarborough","1802 Pharmacy Avenue, Scarborough M1T 1H6","Sushi, Japanese, Asian",55,43.7755898,-79.31783779999999,"1802 Pharmacy Ave, Scarborough, ON M1T 1K1, Canada",M1T
86,CASUAL DINING,Little India,4.2,279,"Queen Street West, Entertainment District","255 Queen Street West, Toronto M5V1Z4",Indian,40,43.6502346,-79.3889547,"255 Queen St W, Toronto, ON M5V 1Z4, Canada",M5V
87,CASUAL DINING,Olde Yorke,4.6,274,Leaside,"96 Laird Drive, Toronto","Fish and Chips, British",60,43.7062388,-79.3621045,"96 Laird Dr, East York, ON M4G 3V3, Canada",M4G
88,FINE DINING,Barberian's Steakhouse And Tavern,4.4,276,Downtown Yonge,"7 Elm Street, Toronto M5G 1H1",Steak,160,43.65759430000001,-79.38217019999999,"7 Elm St, Toronto, ON M5G 1H1, Canada",M5G
89,CAFÉ,Le Gourmand,4.6,173,"Spadina Avenue, Fashion District","152 Spadina Avenue, Toronto M5V 3S6",Cafe,25,43.6481229,-79.3966409,"152 Spadina Ave, Toronto, ON M5V 1Y1, Canada",M5V
90,CASUAL DINING,Queen Mother Cafe,4.3,328,"Queen Street West, Entertainment District","208 Queen Street West, Toronto M5V 1Z2",Asian Fusion,50,43.6504778,-79.3891972,"208 Queen St W, Toronto, ON M5V 1Z2, Canada",M5V
91,DESSERT PARLOR,Millie Creperie,4.4,124,"Baldwin Street, Kensington-Chinatown","161 Baldwin Street, Toronto M5T 1L9","Desserts, Cafe, Japanese",30,43.6547744,-79.39979029999999,"161 Baldwin St, Toronto, ON M5T 1L9, Canada",M5T
92,BAR,416 Snack Bar,4.3,174,"Queen Street West, Trinity Bellwoods","181 Bathurst Street, Toronto M5T 2R7","Bar Food, Asian Fusion, Canadian",40,43.6475364,-79.4038534,"181 Bathurst St, Toronto, ON M5T 2R7, Canada",M5T
93,CASUAL DINING,Ding Tai Fung,4.4,231,"Highway 7, Markham","First Markham Place, 3235 Highway 7 E, Markham L3R 3P3","Shanghai, Chinese, Asian",35,43.8487051,-79.3479341,"3235 Hwy 7 #23-26, Markham, ON L3R 3P3, Canada",L3R
94,FINE DINING,Harbour Sixty,4.3,270,"Bay Street, Harbourfront","60 Harbour Street, Toronto","Seafood, American",180,43.6421013,-79.3784532,"60 Harbour St, Toronto, ON M5J 1B7, Canada",M5J
95,CASUAL DINING,Joey,4.4,305,"Clock Tower Road, North York","75, O'Neill Road, North York, Toronto M3C 0H2","Steak, Grill, Fusion",70,43.733964,-79.3449249,"75 O'Neill Rd, North York, ON M3C 0H1, Canada",M3C
96,CASUAL DINING,Scaddabush,4.4,162,"Yonge Street, Downtown Yonge","382 Yonge Street, Toronto M5B 1S8",Italian,60,43.65924090000001,-79.38286,"382 Yonge St, Toronto, ON M5B 1S9, Canada",M5B
97,FINE DINING,Bymark,4.7,292,"King Street West, Financial District","Toronto Dominion Centre, 66 Wellington Street West, Toronto M5K 1M6",Canadian,120,43.6477077,-79.3816976,"66 Wellington St W, Toronto, ON M5K 1A1, Canada",M5K
98,QUICK BITES,El Trompo,4.4,247,"Oxford Street, Kensington-Chinatown","277 Augusta Avenue, Toronto M5T2M1",Mexican,45,43.6559148,-79.4023148,"277 Augusta Ave, Toronto, ON M5T 2M1, Canada",M5T
99,FINE DINING,Yasu,4.3,75,"Harbord Street, Harbord Village","81 Harbord Street, Toronto M5S 1G4","Sushi, Japanese, Asian",160,43.6627298,-79.4031832,"81 Harbord St, Toronto, ON M5S 1G4, Canada",M5S
100,CASUAL DINING,Restoran Malaysia,4.5,297,"Major Mackenzie Drive East, Richmond Hill","815 Major Mackenzie Drive E, Unit 10, Richmond Hill L4C 9X2","Malaysian, Asian",60,43.8757369,-79.4135058,"10-815 Major Mackenzie Dr E, Richmond Hill, ON L4C 9X2, Canada",L4C
101,CASUAL DINING,The Lakeview Restaurant,3.8,272,"Dundas Street West, Little Italy","1132 Dundas Street West, Toronto","Canadian, Diner, Grill, Burger",45,43.6495907,-79.4203852,"1132 Dundas St W, Toronto, ON M6J 1X2, Canada",M6J
102,CASUAL DINING,Rose & Sons,4.1,200,"Dupont Street, The Annex","176 Dupont Street, Toronto M5R 2E6","American, Fusion",70,43.67574399999999,-79.4036733,"176 Dupont St, Toronto, ON M5R 2E6, Canada",M5R
103,QUICK BITES,Poutini's House of Poutine,4.2,231,"Queen Street West, Beaconsfield Village","1112 Queen Street West, Toronto M6J 1H9",Canadian,25,43.6434393,-79.4231732,"1112 Queen St W, Toronto, ON M6J 1H9, Canada",M6J
104,CASUAL DINING,RS - Real Sports,4.0,280,"York Street, Entertainment District","Maple Leaf Square, 15 York Street, Toronto, ON M5J 2Z2","Bar Food, Grill",80,43.6425315,-79.38063799999999,"15 York St, Toronto, ON M5J 0A3, Canada",M5J
105,QUICK BITES,Ravi Soups,4.9,238,"Adelaide Street West, Entertainment District","322 Adelaide Street West, Toronto M5V 1R1","Sri Lankan, Healthy Food",35,43.6475853,-79.3920316,"322 Adelaide St W, Toronto, ON M5V 1R1, Canada",M5V
106,CASUAL DINING,Farmhouse Tavern,4.3,163,"Dupont Street, Junction Triangle","1627 Dupont Street, Toronto M6P 3S8","Bar Food, Canadian",65,43.6646803,-79.4551383,"1627 Dupont St, Toronto, ON M6P 3S8, Canada",M6P
107,CASUAL DINING,Cibo Wine Bar King St West,4.0,155,"King Street West, Fashion District","522 King Street West, Toronto",Italian,70,43.6452414,-79.39740429999999,"522 King St W, Toronto, ON M5V 1L7, Canada",M5V
108,CASUAL DINING,Mickey's Pizza,4.5,232,"Lakeshore Road West, Mississauga","1900 Lakeshore Road W, Mississauga L5J 1J7",Pizza,30,43.5136955,-79.626395,"1900 Lakeshore Rd W, Mississauga, ON L5J 1J7, Canada",L5J
109,CASUAL DINING,Sushi On Bloor,4.2,354,"Bloor Street West, Harbord Village","25 Bloor Street West, Toronto M5S 1Y4 M5S","Sushi, Japanese, Asian",50,43.6699198,-79.3878953,"25 Bloor St W, Toronto, ON M4W 1A3, Canada",M4W
110,CASUAL DINING,The 3 Brewers,4.1,314,"Yonge Street, Downtown Yonge","275 Yonge Street, Toronto M5B 1N8","American, Bar Food",65,43.6555236,-79.3802224,"275 Yonge St, Toronto, ON M5B 1N8, Canada",M5B
111,BAKERY,Lamanna's Bakery,4.7,169,"Kingston Road, Scarborough","6758 Kingston Road, Scarborough M1B 1G8","Bakery, Italian",25,43.7984704,-79.1481948,"6758 Kingston Rd, Scarborough, ON M1B 1G8, Canada",M1B
112,CASUAL DINING,Woodlot,4.2,211,"College Street, Little Italy","293 Palmerston Avenue, Toronto M6J 2J3",Canadian,100,43.6556815,-79.4097415,"293 Palmerston Ave, Toronto, ON M6J 2J3, Canada",M6J
113,BAR,Thoroughbred,4.3,112,"Queen Street West, Entertainment District","304 Richmond Street West, Toronto M5V 1X2","Fusion, Canadian, Bar Food",80,43.6490436,-79.3915268,"304 Richmond St W, Toronto, ON M5V 1X2, Canada",M5V
114,CASUAL DINING,Federick Restaurant,4.2,231,"1920 Ellesmere Road, Scarborough","1920 Ellesmere Road, Scarborough M1H 2V6","Hakka Chinese, Chinese, Asian",30,43.77500329999999,-79.2408418,"1920 Ellesmere Rd, Scarborough, ON M1H 2V6, Canada",M1H
